index,breathing_force
1818,323027456
1819,323052032
1820,323060224
1821,323035648
1822,323027456
1823,323035648
1824,323019264
1825,323027456
1826,323011072
1827,323019264
1828,323076608
1829,323101184
1830,323125760
1831,323150336
1832,323174912
1833,323256832
1834,323330560
1835,323346944
1836,323420672
1837,323453440
1838,323371520
1839,323338752
1840,323207680
1841,323125760
1842,323084800
1843,323019264
1844,323035648
1845,322970112
1846,322961920
1847,322953728
1848,323002880
1849,323011072
1850,323002880
1851,323019264
1852,323027456
1853,323043840
1854,323076608
1855,323150336
1856,323248640
1857,323346944
1858,323469824
1859,323600896
1860,323707392
1861,323822080
1862,323953152
1863,324116992
1864,324297216
1865,324428288
1866,324624896
1867,324731392
1868,324846080
1869,324952576
1870,324968960
1871,324993536
1872,325059072
1873,325124608
1874,325222912
1875,325239296
1876,325288448
1877,325313024
1878,325288448
1879,325198336
1880,325059072
1881,324903424
1882,324739584
1883,324551168
1884,324387328
1885,324231680
1886,324092416
1887,323969536
1888,323854848
1889,323740160
1890,323658240
1891,323600896
1892,323576320
1893,323518976
1894,323527168
1895,323609088
1896,323469824
1897,323428864
1898,323273216
1899,323142144
1900,323076608
1901,323019264
1902,322970112
1903,322945536
1904,322912768
1905,322912768
1906,322929152
1907,322945536
1908,322937344
1909,322937344
1910,322945536
1911,322912768
1912,322912768
1913,322920960
1914,322920960
1915,322929152
1916,322970112
1917,322994688
1918,323027456
1919,323043840
1920,323092992
1921,323166720
1922,323248640
1923,323273216
1924,323338752
1925,323379712
1926,323314176
1927,323289600
1928,323150336
1929,323092992
1930,323043840
1931,322978304
1932,322986496
1933,322929152
1934,322896384
1935,322912768
1936,322945536
1937,322986496
1938,322961920
1939,322970112
1940,322978304
1941,322945536
1942,322929152
1943,322920960
1944,322937344
1945,322978304
1946,322994688
1947,323027456
1948,323060224
1949,323068416
1950,323101184
1951,323158528
1952,323232256
1953,323289600
1954,323322368
1955,323396096
1956,323322368
1957,323305984
1958,323232256
1959,323117568
1960,323076608
1961,323027456
1962,322961920
1963,322945536
1964,322896384
1965,322929152
1966,323027456
1967,323150336
1968,323305984
1969,323412480
1970,323551744
1971,323682816
1972,323781120
1973,323912192
1974,324018688
1975,324116992
1976,324239872
1977,324370944
1978,324502016
1979,324608512
1980,324723200
1981,324837888
1982,324960768
1983,325034496
1984,325132800
1985,325255680
1986,325296640
1987,325419520
1988,325444096
1989,325468672
1990,325526016
1991,325599744
1992,325665280
1993,325730816
1994,325755392
1995,325829120
1996,325878272
1997,325911040
1998,325902848
1999,325870080
2000,325804544
2001,325681664
2002,325526016
2003,325321216
2004,325132800
2005,324952576
2006,324772352
2007,324641280
2008,324542976
2009,324452864
2010,324313600
2011,324256256
2012,324198912
2013,324076032
2014,323953152
2015,323781120
2016,323658240
2017,323559936
2018,323453440
2019,323445248
2020,323346944
2021,323314176
2022,323289600
2023,323289600
2024,323248640
2025,323240448
2026,323199488
2027,323191296
2028,323133952
2029,323117568
2030,323101184
2031,323092992
2032,323125760
2033,323166720
2034,323207680
2035,323215872
2036,323281408
2037,323224064
2038,323265024
2039,323191296
2040,323101184
2041,323084800
2042,323027456
2043,322994688
2044,323011072
2045,322978304
2046,322970112
2047,323019264
2048,323060224
2049,323076608
2050,323076608
2051,323076608
2052,323076608
2053,323068416
2054,323052032
2055,323068416
2056,323092992
2057,323101184
2058,323133952
2059,323174912
2060,323207680
2061,323281408
2062,323305984
2063,323420672
2064,323518976
2065,323617280
2066,323691008
2067,323691008
2068,323772928
2069,323813888
2070,323879424
2071,324018688
2072,324084224
2073,324215296
2074,324379136
2075,324526592
2076,324690432
2077,324813312
2078,324944384
2079,325075456
2080,325190144
2081,325296640
2082,325419520
2083,325542400
2084,325648896
2085,325755392
2086,325820928
2087,325902848
2088,325935616
2089,325968384
2090,325984768
2091,325952000
2092,325837312
2093,325706240
2094,325566976
2095,325337600
2096,325190144
2097,324928000
2098,324715008
2099,324559360
2100,324387328
2101,324297216
2102,324149760
2103,324026880
2104,323928576
2105,323863040
2106,323805696
2107,323707392
2108,323633664
2109,323559936
2110,323469824
2111,323387904
2112,323330560
2113,323289600
2114,323265024
2115,323240448
2116,323224064
2117,323183104
2118,323191296
2119,323199488
2120,323232256
2121,323289600
2122,323281408
2123,323346944
2124,323346944
2125,323305984
2126,323215872
2127,323092992
2128,323035648
2129,322978304
2130,322937344
2131,322945536
2132,322896384
2133,322896384
2134,322912768
2135,322953728
2136,322986496
